Salutation,First name,Last name,Name,Phone,Email,Language,Project
Frau,Alexandra,Müller, Alexandra Müller,+41523547856,alexandra.muller@bluewin.ch,DE,A
Herr,Alain,Schmidt,Alain Schmidt,+41789963214,alain_schmidt@bluewin.ch,DE,B
Herr,Alexander,Schneider,Alexander Schneider,+41673210498,alexander.schneider@email.de,DE,C
Frau,Alexander,Fischer,Alexander Fischer,+41498234567,afischer@bluewin.ch,DE,B
Herr,Amit K.,Weber,Amit K. Weber,+41764120983,weber@email.ch,DE,B
Herr,André,Meyer,André Meyer,+41478256391,andre.meyer@bluewin.ch,DE,C
Frau,Andreas,Wagner,Andreas Wagner,+41653987462,kontakt@andreaswagner.com,DE,B
Herr,Antonino,Becker,Antonino Becker,+41769410827,nio.becker@bluewin.ch,DE,B
Herr,Krisztián,Schulz,Krisztián Schulz,+41462190358,krschulz@gmail.com,DE,A
Herr,Beat,Hoffmann,Beat Hoffmann,+41648750921,beat.hoffmann@tamutaag.ch,DE,B
Frau,Beatrice,Schäfer,Beatrice Schäfer,+41723968105,bea.schafer@bluewin.ch,DE,A
Herr,Bernhard,Koch,Bernhard Koch,+41496378204,info@koch.ch,DE,B
Herr,Bruno,Bauer,Bruno Bauer,+41687429105,bruno.bauer@zuf-finanz.ch,DE,C
Frau,Catrina,Richter,Catrina Richter,+41735109624,catrina.richter@bluewin.ch,DE,C
Herr,Christian,Klein,Christian Klein,+41467293018,christian.klein@gmx.ch,CH,B
Herr,Christian,Wolf,Christian Wolf,+41640958732,chrwolf@outlook.com,DE,A
Herr,Christian,Schröder,Christian Schröder,+41758091264,cschroder@fpziegler.ch,DE,C
Frau,Christina,Neumann,Christina Neumann,+41487236509,christina.neumann@gmx.ch,DE,A
Mr.,Christoph,Schwarz,Christoph Schwarz,+41612987450,christoph.schwarz@bwo.ch,DE,B
Frau,Claudia,Zimmermann,Claudia Zimmermann,+41734509287,claudia.zimmermann@gmail.com,DE,B
Frau,Claudia,Braun,Claudia Braun,+41429875601,c.braun@bluewin.ch,DE,B
Frau,Cornelia,Krüger,Cornelia Krüger,+41658492037,cornelia.kruger@bluewin.ch,DE,A
Herr,Daniel,Hofmann,Daniel Hofmann,+41768754309,danielhofmann@bluewin.ch,DE,B
Herr,Daniel,Hartmann,Daniel Hartmann,+41476293015,daniel.hartmann@gmx.ch,DE,C
Herr,Daniel,Lange,Daniel Lange,+41631098574,daniel.lange@bluewin.ch,DE,C
Herr,David,Schmitt,David Schmitt,+41792083465,david.schmitt@nordlux.ch,DE,B
Herr,Dennis,Werner,Dennis Werner,+41418576309,den.werner@icloud.com,DE,B
Herr,Dimitri,Schmitz,Dimitri Schmitz,+41674209851,schmitzdimitri@gmail.com,DE,A
Frau,Dominic,Krause,Dominic Krause,+41750984362,domkrause@bluewin.ch,DE,B
Herr,Dominic,Meier,Dominic Meier,+41432097658,dominicmeier@bluewin.ch,DE,C
Herr,Erich,Lehmann,Erich Lehmann,+41698754302,eLehmann@gmx.ch,DE,A
Frau,Eva-Maria,Schmid,Eva-Maria Schmid,+41723091856,eva-maria.schmid@gmx.de,DE,B
Herr,Fabian,Schulze,Fabian Schulze,+41459876203,fabian.n.schulze@outlook.com,DE,B
Herr,Flavio,Maier,Flavio Maier,+41687429051,flaviomaier@icloud.com,DE,B
Herr,Florian,Köhler,Florian Köhler,+41714509238,florian-kohler@gmx.net,DE,C
Herr,Fredrik,Herrmann,Fredrik Herrmann,+41428765401,herrmann_f@yahoo.com,DE,A
Herr,Fredy,König,Fredy König,+41656098732,frkonig@bluewin.ch,DE,B
Frau,Gudrun,Walter,Gudrun Walter,+41780923456,gwalter@gmail.com,DE,B
Herr,Hansjürg,Mayer,Hansjürg Mayer,+41467239801,h.mayer@mac.com,DE,C
Herr,Helga,Huber,Helga Huber,+41620984573,helga.huber@bluewin.ch,DE,A
Herr,Helmut,Kaiser,Helmut Kaiser,+41734509287,kaiserhelmuth@gmx.ch,DE,C
Frau,Jacqueline,Fuchs,Jacqueline Fuchs,+41487369501,jacquelinefuchs@gmail.com,DE,B
Frau,Jacqueline,Peters,Jacqueline Peters,+41614820957,jacpeters@bluewin.ch,DE,B
Frau,Jacqueline,Lange,Jacqueline Lang,+41739847506,j.lang@gmail.com,DE,B
Herr,Jean-Marc,Scholz,Jean-Marc Scholz,+41496523807,jm.scholz@gmail.com,DE,B
Herr,Josef,Möller,Josef Möller,+41678509234,joe.moller@bluewin.ch,DE,B
Frau,Josefa,Weiß,Josefa Weiß,+41750928364,j.weib@bluewin.ch,DE,C
Herr,Juerg,Jung,Juerg Jung,+41422098375,juerg.jung@gmx.net,DE,B
Herr,Kamal,Hahn,Kamal Hahn,+41698754012,khahn@gmail.com,DE,A
Herr,Kassab,Schubert,Kassab Schubert,+41723049587,jasser.schubert@gmail.com,DE,B
Herr,Kurt,Vogel,Kurt Vogel,+41459786320,kurt.vogel@gmx.ch,DE,C
Frau,Laura,Friedrich,Laura Friedrich,+41687409536,laura.friedrich@bluewin.ch,DE,B
Herr,Leon,Keller,Leon Keller,+41714509238,leon.keller@gmx.ch,DE,C
Herr,Luciano,Günther,Luciano Günther,+41428756309,luciano.gunther@hotmail.com,DE,B
Herr,Maarten,Frank,Maarten Frank,+41656098732,maartenfrank@bluewin.ch,DE,A
Frau,Madlen,Berger,Madlen Berger,+41780923456,madlen.berger@bluewin.ch,DE,B
Frau,Marc,Winkler,Marc Winkler,+41467239801,marc.winkler@gmail.com,DE,C
Herr,Marcel,Roth,Marcel Roth,+41620984573,marcel.roth@gmail.com,DE,B
Herr,Marcel Robert,Beck,Marcel Robert Beck,+41734509287,mrbeck@bluewin.ch,DE,A
Herr,Marco,Lorenz,Marco Lorenz,+41487369501,marcolorenz@gmx.ch,DE,B
Herr,Maria,Baumann,Maria Baumann,+41614820957,baumann@bluewin.ch,DE,C
Herr,Markus,Franke,Markus Franke,+41739847506,markus.franke@gmx.ch,DE,B
Herr,Martin,Albrecht,Martin Albrecht,+41496523807,martin.albrecht@gmx.ch,DE,A
Herr,Max,Schuster,Max Schuster,+41678509234,maxschuster@bluewin.ch,DE,B
Frau,Michael,Simon,Michael Simon,+41750928364,msimon@gmx.ch,DE,C
Herr,Michael,Ludwig,Michael Ludwig,+41422098375,mikel-ludwig@bluewin.ch,DE,B
Frau,Monika,Böhm,Monika Böhm,+41698754012,monika.bohm@bluewin.ch,DE,B
Frau,Nora,Winter,Nora Winter,+41723049587,nora.winter@bluewin.ch,DE,A
Herr,Pascal,Kraus,Pascal Kraus,+41459786320,pascalkraus@bluewin.ch,DE,B
Frau,Patricia,Martin,Patricia Martin,+41687409536,patricia.martin@gmx.ch,DE,C
Herr,Patrick,Schumacher,Patrick Schumacher,+41714509238,patrick.schumacher@live.de,DE,A
Herr,Patrik,Krämer,Patrik Krämer,+41428756309,patrikkramer@bluewin.ch,DE,C
Herr,Paul,Vogt,Paul Vogt,+41656098732,ralf-vogt@gmx.ch,CH,B
Herr,Philipp,Stein,Philipp Stein,+41780923456,philipp.stein@gmail.com,DE,B
Herr,Philipp,Jäger,Philipp Jäger,+41467239801,phjager@bluewin.ch,DE,B
Herr,Pius,Otto,Pius Otto,+41620984573,ottopius@gmail.com,DE,C
Ms.,Ramona,Sommer,Ramona Sommer,+41734509287,ramonasommer@bluewin.ch,DE,B
Frau,Renate,Groß,Renate Groß,+41487369501,renategrob@hotmail.com,DE,B
Herr,Rene,Seidel,Rene Seidel,+41614820957,reneseidel@bluewin.ch,DE,C
Herr,Robert,Heinrich,Robert Heinrich,+41739847506,robi-heinrich@hotmail.com,DE,A
Herr,Robert,Brandt,Robert Brandt,+41496523807,robertbrandt@bluewin.ch,DE,B
Herr,Robin,Haas,Robin Haas,+41678509234,robin.haas@bluewin.ch,DE,B
Herr,Roger,Schreiber,Roger Schreiber,+41750928364,rogrischreiber@yahoo.com,DE,C
Herr,Samuel,Graf,Samuel Graf,+41422098375,samuel.graf@bluewin.ch,DE,C
